제출일,공시유형,보고서명,제출인,비고,원문링크
2026-09-11,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260911000434
2026-09-11,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260911000385
2026-09-04,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904800176
2026-08-31,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831001290
2026-08-31,발행공시,투자설명서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831000056
2026-08-26,발행공시,[첨부정정]증권신고서(채무증권),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000090
2026-08-25,발행공시,[발행조건확정]증권신고서(채무증권),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000482
2026-08-25,발행공시,[기재정정]증권신고서(채무증권),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000479
2026-08-25,주요사항보고,[기재정정]주요사항보고서(상각형조건부자본증권발행결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000422
2026-08-21,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821800357
2026-08-21,거래소공시,[기재정정]최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821800672
2026-08-20,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260820800322
2026-08-20,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260820800320
2026-08-20,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260820800325
2026-08-19,발행공시,증권신고서(채무증권),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260819000353
2026-08-19,주요사항보고,[기재정정]주요사항보고서(상각형조건부자본증권발행결정),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260819000279
2026-08-18,발행공시,[기재정정]일괄신고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260818000230
2026-08-14,정기공시,반기보고서 (2026.06),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260814004200
2026-07-30,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260730000322
2026-07-29,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260729000418
2026-07-29,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260729000432
2026-07-23,주요사항보고,주요사항보고서(상각형조건부자본증권발행결정),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723000413
2026-07-23,거래소공시,주식소각결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800512
2026-07-23,주요사항보고,주요사항보고서(자기주식취득신탁계약체결결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723000345
2026-07-23,거래소공시,현금ㆍ현물배당결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800477
2026-07-23,거래소공시,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800475
2026-07-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800451
2026-07-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800439
2026-07-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260723800438
2026-07-21,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260721800305
2026-07-20,거래소공시,[기재정정]주식소각결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260720800766
2026-07-16,거래소공시,[기재정정]주식소각결정              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716800499
2026-07-16,기타공시,자기주식취득결과보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000387
2026-07-09,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260709800262
2026-07-02,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260702000533
2026-07-01,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260701000618
2026-07-01,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260701000612
2026-06-30,거래소공시,지속가능경영보고서등관련사항(자율공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260630800958
2026-06-26,거래소공시,유상증자결정(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626800874
2026-06-19,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260619000525
2026-06-19,정기공시,[기재정정]사업보고서 (2025.12),KB금융,연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260619000667
2026-06-18,거래소공시,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618800628
2026-06-18,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618800553
2026-06-18,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000392
2026-06-18,거래소공시,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618800642
2026-06-18,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000388
2026-06-17,지분공시,주식등의대량보유상황보고서(약식),국민연금공단,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260617000314
2026-06-11,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,주동욱,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260611000242
2026-06-10,지분공시,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,오상원,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260610000235
2026-06-10,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,오상원,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260610000024
2026-06-05,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260605800347
2026-06-01,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,박선현,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260601000584
2026-05-26,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260526000413
2026-05-22,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260522000522
2026-05-22,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260522000511
2026-05-20,거래소공시,기타안내사항(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260520800664
2026-05-20,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260520800640
2026-05-18,발행공시,[기재정정]일괄신고서,KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260518000281
2026-05-18,발행공시,[첨부정정]일괄신고서,KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260518000311
2026-05-18,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260518800758
2026-05-15,정기공시,분기보고서 (2026.03),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515002888
2026-05-14,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260514001124
2026-05-14,발행공시,투자설명서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260514000033
2026-05-08,발행공시,[발행조건확정]증권신고서(채무증권),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260508001028
2026-05-08,발행공시,[기재정정]증권신고서(채무증권),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260508001018
2026-05-08,주요사항보고,[기재정정]주요사항보고서(상각형조건부자본증권발행결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260508000967
2026-05-07,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260507800917
2026-05-04,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,김성현,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260504000344
2026-04-30,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,나상록,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430001927
2026-04-30,발행공시,증권신고서(채무증권),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430001806
2026-04-29,거래소공시,해외증권거래소등에신고한사업보고서등의국내신고              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260429801135
2026-04-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800477
2026-04-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800476
2026-04-23,거래소공시,현금ㆍ현물배당결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800554
2026-04-23,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800481
2026-04-23,거래소공시,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800550
2026-04-23,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423000586
2026-04-23,주요사항보고,주요사항보고서(자기주식취득결정),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423000431
2026-04-23,거래소공시,주식소각결정              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800568
2026-04-23,거래소공시,주식소각결정              (기보유 자기주식),KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800583
2026-04-23,주요사항보고,주요사항보고서(상각형조건부자본증권발행결정),KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423000690
2026-04-23,거래소공시,[기재정정]현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260423800940
2026-04-22,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422000592
2026-04-22,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422000585
2026-04-17,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260417800683
2026-04-09,거래소공시,[기재정정]주식소각결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260409800886
2026-04-09,기타공시,자기주식취득결과보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260409001480
2026-04-09,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260409800577
2026-04-07,지분공시,주식등의대량보유상황보고서(약식),CapitalResearchandManagementCompany,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260407000642
2026-03-27,거래소공시,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260327802428
2026-03-26,거래소공시,정기주주총회결과              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260326803383
2026-03-26,기타공시,독립이사의선임ㆍ해임또는중도퇴임에관한신고,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260326001189
2026-03-26,발행공시,증권발행실적보고서,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260326000841
2026-03-25,발행공시,일괄신고추가서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260325001262
2026-03-25,발행공시,투자설명서(일괄신고),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260325001274
2026-03-24,정기공시,[기재정정]사업보고서 (2025.12),KB금융,정연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260324000835
2026-03-24,정기공시,[기재정정]반기보고서 (2025.06),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260324000827
2026-03-24,정기공시,[기재정정]사업보고서 (2024.12),KB금융,연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260324000822
2026-03-24,정기공시,[기재정정]반기보고서 (2024.06),KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260324000813
2026-03-16,발행공시,[기재정정]일괄신고서,KB금융,정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316000944
2026-03-13,정기공시,사업보고서 (2025.12),KB금융,정연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001191
2026-03-12,지분공시,의결권대리행사권유참고서류,컨두잇,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260312001220
2026-03-11,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260311801094
2026-03-11,지분공시,주식등의대량보유상황보고서(약식),BlackRockFundAdvisors,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260311004186
2026-03-11,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,이경종,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260311004467
2026-03-10,거래소공시,최대주주등소유주식변동신고서              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310800647
2026-03-06,지분공시,의결권대리행사권유참고서류,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306000856
2026-03-06,기타공시,주주총회소집공고,KB금융,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306000847
2026-03-06,거래소공시,감사보고서제출(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306801328
2026-03-06,거래소공시,감사보고서제출              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306801143
2026-03-06,거래소공시,감사보고서제출(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306801136
2026-03-05,거래소공시,기업지배구조보고서공시(연차보고서)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260305801565
2026-02-27,지분공시,임원ㆍ주요주주특정증권등소유상황보고서,박형주,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260227007658
2026-02-25,거래소공시,주주총회소집결의              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260225801306
2026-02-25,거래소공시,유상증자결정(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260225801153
2026-02-19,거래소공시,기업설명회(IR)개최(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219800622
2026-02-10,거래소공시,[기재정정]기타안내사항(안내공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260210800675
2026-02-10,거래소공시,기타안내사항(안내공시)              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260210800464
2026-02-05,거래소공시,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800723
2026-02-05,거래소공시,주식소각결정              ,KB금융,유정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800690
2026-02-05,거래소공시,매출액또는손익구조30%(대규모법인은15%)이상변경              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800710
2026-02-05,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800658
2026-02-05,거래소공시,연결재무제표기준영업(잠정)실적(공정공시)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800646
2026-02-05,거래소공시,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800576
2026-02-05,거래소공시,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800620
2026-02-05,거래소공시,현금ㆍ현물배당결정              ,KB금융,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260205800608
