회사,재무제표,계정,당기금액,당기누적
KB금융,BS,현금 및 예치금,44618344000000,
KB금융,BS,상각후원가 측정 대출채권,505398999000000,
KB금융,BS,매각예정자산,166753000000,
KB금융,BS,매각예정처분자산집단,115039000000,
KB금융,BS,투자금융자산,137198864000000,
KB금융,BS,자산총계,866889205000000,
KB금융,BS,당기법인세자산,447277000000,
KB금융,BS,이연법인세자산,183862000000,
KB금융,BS,파생금융자산,12967488000000,
KB금융,BS,당기손익-공정가치측정금융자산,100468179000000,
KB금융,BS,보험계약자산,378988000000,
KB금융,BS,무형자산,1595329000000,
KB금융,BS,관계기업 및 공동기업 투자,1040992000000,
KB금융,BS,투자부동산,3421805000000,
KB금융,BS,기타자산,51949101000000,
KB금융,BS,유형자산,5078131000000,
KB금융,BS,순확정급여자산,490428000000,
KB금융,BS,재보험계약자산,1369626000000,
KB금융,BS,자본총계,62701822000000,
KB금융,BS,지배기업주주지분,60890838000000,
KB금융,BS,자본잉여금,9127521000000,
KB금융,BS,신종자본증권,4206721000000,
KB금융,BS,기타포괄손익누계액,-487227000000,
KB금융,BS,자본금,2090558000000,
KB금융,BS,이익잉여금,46129279000000,
KB금융,BS,자기주식,176014000000,
KB금융,BS,비지배지분,1810984000000,
KB금융,BS,부채와자본총계,866889205000000,
KB금융,BS,사채,80462793000000,
KB금융,BS,당기법인세부채,416935000000,
KB금융,BS,이연법인세부채,2242689000000,
KB금융,BS,예수부채,486343528000000,
KB금융,BS,파생금융부채,13391153000000,
KB금융,BS,당기손익-공정가치측정금융부채,11526649000000,
KB금융,BS,보험계약부채,53359408000000,
KB금융,BS,부채총계,804187383000000,
KB금융,BS,매각예정처분부채집단,74675000000,
KB금융,BS,차입부채,77907732000000,
KB금융,BS,기타부채,76959448000000,
KB금융,BS,충당부채,1375214000000,
KB금융,BS,순확정급여부채,89930000000,
KB금융,BS,재보험계약부채,37229000000,
KB금융,CIS,당기손익-공정가치 측정 금융상품순손익,2218901000000,2585745000000.0
KB금융,CIS,보험서비스결과,412075000000,755716000000.0
KB금융,CIS,보험비용,2855422000000,5644038000000.0
KB금융,CIS,재보험비용,221725000000,427365000000.0
KB금융,CIS,보험서비스비용,2633697000000,5216673000000.0
KB금융,CIS,보험수익,3267497000000,6399754000000.0
KB금융,CIS,재보험수익,110510000000,233090000000.0
KB금융,CIS,보험수익,3156987000000,6166664000000.0
KB금융,CIS,영업외손익,20210000000,-76216000000.0
KB금융,CIS,기타영업외손익,4517000000,-112133000000.0
KB금융,CIS,관계기업 및 공동기업 투자손익,15693000000,35917000000.0
KB금융,CIS,기타보험금융손익,-1642279000000,-1996585000000.0
KB금융,CIS,신용손실충당금 반영전 영업이익,3232293000000,6453128000000.0
KB금융,CIS,반기총포괄이익,1998625000000,3896027000000.0
KB금융,CIS,비지배지분총포괄손익,-4498000000,28464000000.0
KB금융,CIS,지배기업주주지분총포괄손익,2003123000000,3867563000000.0
KB금융,CIS,기본주당이익,5549,10670.0
KB금융,CIS,희석주당이익,5509,10585.0
KB금융,CIS,순수수료수익(비용),1601916000000,2961245000000.0
KB금융,CIS,수수료비용,491903000000,942949000000.0
KB금융,CIS,수수료수익,2093819000000,3904194000000.0
KB금융,CIS,신용손실충당금전입액,519745000000,1013014000000.0
KB금융,CIS,법인세비용,722250000000,1436921000000.0
KB금융,CIS,순이자이익,3143438000000,6478260000000.0
KB금융,CIS,이자비용,4208662000000,8033569000000.0
KB금융,CIS,보험금융이자비용,408741000000,811804000000.0
KB금융,CIS,이자비용,3799921000000,7221765000000.0
KB금융,CIS,이자수익,7352100000000,14511829000000.0
KB금융,CIS,보험금융이자수익,10205000000,21674000000.0
KB금융,CIS,당기손익-공정가치측정 금융상품 이자수익,375712000000,740531000000.0
KB금융,CIS,기타포괄손익-공정가치 측정 및 상각후원가 측정 금융상품 이자수익,6966183000000,13749624000000.0
KB금융,CIS,법인세비용차감후 기타포괄손익,-11883000000,-30950000000.0
KB금융,CIS,현금흐름위험회피수단의 손익,-254119000000,-498474000000.0
KB금융,CIS,외환차이,65165000000,343344000000.0
KB금융,CIS,기타포괄손익-공정가치 측정 채무상품 관련 손익,-1660346000000,-3994187000000.0
KB금융,CIS,해외사업장순투자위험회피수단의 손익,-30644000000,-113078000000.0
KB금융,CIS,보험계약관련변동손익,1905697000000,4245205000000.0
KB금융,CIS,관계기업 및 공동기업 기타포괄손익에 대한 지분,-686000000,578000000.0
KB금융,CIS,당기손익-공정가치 지정 금융부채 신용위험변동 손익,2972000000,1693000000.0
KB금융,CIS,기타포괄손익-공정가치 측정 지분상품 관련 손익,-112481000000,-79084000000.0
KB금융,CIS,순확정급여부채의 재측정요소,72561000000,63028000000.0
KB금융,CIS,관계기업 및 공동기업 기타포괄손익에 대한 지분,-2000000,25000000.0
KB금융,CIS,기타영업손익,-612271000000,-676852000000.0
KB금융,CIS,반기순이익,2010508000000,3926977000000.0
KB금융,CIS,비지배지분순이익,18319000000,42387000000.0
KB금융,CIS,지배기업주주지분순이익,1992189000000,3884590000000.0
KB금융,CIS,법인세비용차감전반기순이익,2732758000000,5363898000000.0
KB금융,CIS,영업이익,2712548000000,5440114000000.0
KB금융,CIS,일반관리비,1889487000000,3654401000000.0
삼성전자,BS,자산총계,759480516000000,
삼성전자,BS,유동자산,379711982000000,
삼성전자,BS,미수금,8186319000000,
삼성전자,BS,현금및현금성자산,92916382000000,
삼성전자,BS,단기당기손익-공정가치금융자산,46000000000,
삼성전자,BS,선급비용,4207615000000,
삼성전자,BS,매출채권,96408968000000,
삼성전자,BS,재고자산,71389118000000,
삼성전자,BS,기타유동자산,9520934000000,
삼성전자,BS,단기금융상품,97036646000000,
삼성전자,BS,비유동자산,379768534000000,
삼성전자,BS,이연법인세자산,13164861000000,
삼성전자,BS,무형자산,29386502000000,
삼성전자,BS,관계기업 및 공동기업 투자,14446902000000,
삼성전자,BS,당기손익-공정가치금융자산,1435864000000,
삼성전자,BS,기타포괄손익-공정가치금융자산,37912513000000,
삼성전자,BS,순확정급여자산,6302183000000,
삼성전자,BS,기타비유동자산,52747757000000,
삼성전자,BS,유형자산,224371952000000,
삼성전자,BS,자본총계,579309676000000,
삼성전자,BS,지배기업 소유주지분,565064740000000,
삼성전자,BS,기타자본항목,50665769000000,
삼성전자,BS,자본금,897514000000,
삼성전자,BS,보통주자본금,778047000000,
삼성전자,BS,우선주자본금,119467000000,
삼성전자,BS,이익잉여금,509097564000000,
삼성전자,BS,주식발행초과금,4403893000000,
삼성전자,BS,비지배지분,14244936000000,
삼성전자,BS,부채와자본총계,759480516000000,
삼성전자,BS,유동부채,134189617000000,
삼성전자,BS,단기차입금,13710121000000,
삼성전자,BS,예수금,1171446000000,
삼성전자,BS,미지급비용,35454000000000,
삼성전자,BS,선수금,3295051000000,
삼성전자,BS,유동성장기부채,1205829000000,
삼성전자,BS,당기법인세부채,30303054000000,
삼성전자,BS,기타유동부채,3060282000000,
삼성전자,BS,미지급금,18188165000000,
삼성전자,BS,충당부채,10596988000000,
삼성전자,BS,매입채무,17204681000000,
삼성전자,BS,부채총계,180170840000000,
삼성전자,BS,비유동부채,45981223000000,
삼성전자,BS,이연법인세부채,4888855000000,
삼성전자,BS,사채,7668000000,
삼성전자,BS,장기차입금,7485103000000,
삼성전자,BS,순확정급여부채,609291000000,
삼성전자,BS,장기충당부채,3717725000000,
삼성전자,BS,기타비유동부채,24468679000000,
삼성전자,BS,장기미지급금,4803902000000,
삼성전자,IS,영업이익,89492412000000,146725209000000.0
삼성전자,IS,기타수익,440736000000,916374000000.0
삼성전자,IS,기타비용,447608000000,837090000000.0
삼성전자,IS,판매비와관리비,29808299000000,54488675000000.0
삼성전자,IS,매출원가,52198759000000,104159030000000.0
삼성전자,IS,기본주당이익(손실),10849,17950.0
삼성전자,IS,희석주당이익(손실),10733,17768.0
삼성전자,IS,금융비용,3637218000000,8495460000000.0
삼성전자,IS,금융수익,8352399000000,14475364000000.0
삼성전자,IS,매출총이익,119300711000000,201213884000000.0
삼성전자,IS,법인세비용,22815344000000,34418506000000.0
삼성전자,IS,반기순이익,71624461000000,118849733000000.0
삼성전자,IS,비지배지분,354993000000,479075000000.0
삼성전자,IS,지배회사지분 반기순이익,71269468000000,118370658000000.0
삼성전자,IS,법인세비용차감전순이익,94439805000000,153268239000000.0
삼성전자,IS,매출액,171499470000000,305372914000000.0
삼성전자,IS,지분법이익,239084000000,483842000000.0
삼성전자,CIS,반기총포괄손익,85709625000000,145845838000000.0
삼성전자,CIS,비지배지분,1560598000000,2232542000000.0
삼성전자,CIS,지배기업 소유주지분,84149027000000,143613296000000.0
삼성전자,CIS,기타포괄손익,14085164000000,26996105000000.0
삼성전자,CIS,후속적으로 당기손익으로 재분류되는 포괄손익,4214053000000,12895319000000.0
삼성전자,CIS,현금흐름위험회피파생상품평가손익,13219000000,34789000000.0
삼성전자,CIS,해외사업장환산외환차이,4155770000000,12655301000000.0
삼성전자,CIS,관계기업 및 공동기업의 기타포괄손익에 대한 지분,45064000000,205229000000.0
삼성전자,CIS,후속적으로 당기손익으로 재분류되지 않는 포괄손익,9871111000000,14100786000000.0
삼성전자,CIS,기타포괄손익-공정가치금융자산평가손익,9981136000000,14351234000000.0
삼성전자,CIS,순확정급여부채(자산) 재측정요소,-131529000000,-329490000000.0
